# index, vids, hemisphere, homologue, cell_type, annotations, cluster, _pos
1252,16924423,right,14241490,pre-DN-VNC,no official annotation,84,"array([0.62600741, 0.72625161])"
1253,19361427,left,16950354,DN-VNC,no official annotation,91,"array([0.6067395 , 0.69682021])"
1254,7582412,left,2776773,LN,no official annotation,28,"array([0.60385684, 0.89545715])"
1255,9531722,right,-1,KC,KC,33,"array([0.54064454, 0.82589574])"
1256,3180681,right,15586949,pre-DN-SEZ,no official annotation,19,"array([0.72905313, 0.8179408 ])"
1257,12273754,left,17654624,PN-somato,noci 2nd_order PN,18,"array([0.71942832, 0.84610925])"
1258,16095576,,-1,,,0,"array([0.655425  , 0.87526935])"
1259,9565674,right,17360022,pre-DN-VNC,no official annotation,44,"array([0.6553999 , 0.81684526])"
1260,16433177,right,16472086,PN-somato,mechano-Ch 2nd_order PN,26,"array([0.69273952, 0.84831491])"
1261,17591442,right,5474852,LN,CN-5,41,"array([0.60906577, 0.85748493])"
1262,2963280,right,6494382,LHN,no official annotation,43,"array([0.64271382, 0.85387799])"
1263,20730780,left,9202326,PN-somato,noci 2nd_order PN,27,"array([0.70168381, 0.84916115])"
1264,5750884,left,20443420,PN-somato,Tel5; noci 2nd_order PN,27,"array([0.70889473, 0.86152402])"
1265,17165621,left,9422291,PN-somato,noci 2nd_order PN; mechano-Ch 2nd_order PN,27,"array([0.70676841, 0.85807361])"
1266,2772093,right,9348984,pre-DN-VNC,no official annotation,27,"array([0.70832589, 0.83299249])"
1267,17762417,right,16444758,pre-DN-SEZ,no official annotation,58,"array([0.61500493, 0.79743709])"
1268,18062678,left,7065182,LN,CN-20,75,"array([0.59436966, 0.78419206])"
1269,2439134,left,4099900,LHN,no official annotation,53,"array([0.59762366, 0.84495232])"
1270,15568333,right,15566333,CN,PL-6,61,"array([0.60423137, 0.8395835 ])"
1271,13836327,right,9061235,CN,no official annotation,91,"array([0.60507464, 0.75677636])"
1272,4849988,right,16950121,PN-somato,proprio 2nd_order PN,87,"array([0.61653899, 0.70181641])"
1273,4812481,right,16545101,pre-DN-VNC,no official annotation,65,"array([0.64212341, 0.72773085])"
1274,10758204,left,2650887,pre-DN-VNC,no official annotation,74,"array([0.60872751, 0.74991235])"
1275,17850822,right,14723506,pre-DN-SEZ,no official annotation,71,"array([0.65136728, 0.78978613])"
1276,15674269,right,12389097,MB-FFN,FFN-10,58,"array([0.60130339, 0.77166862])"
1277,17360404,left,4390116,pre-DN-VNC,no official annotation,89,"array([0.57659262, 0.70917532])"
1278,7025064,left,8161142,pre-DN-VNC,no official annotation,92,"array([0.63433716, 0.71751136])"
1279,7283193,,-1,,,0,"array([0.58098361, 0.73069185])"
1280,18267838,left,4173633,pre-DN-VNC,no official annotation,84,"array([0.57761387, 0.71567898])"
1281,3806652,right,14437742,DN-SEZ,mPN,15,"array([0.55360853, 0.86112705])"
1282,17355872,right,17356450,DN-SEZ,no official annotation,15,"array([0.54244584, 0.84638598])"
1283,2439067,left,3814853,LHN,LHN-8,43,"array([0.63889644, 0.8749015 ])"
1284,13863331,right,15766806,MB-FBN,FBN-15; LHN-12; CN-48,61,"array([0.59067412, 0.84823837])"
1285,15679639,right,14797760,PN-somato,mechano-Ch 2nd_order PN,27,"array([0.69952822, 0.84299844])"
1286,14461238,left,18292832,LHN,no official annotation,38,"array([0.60861455, 0.88673291])"
1287,11144258,left,9800178,LN,no official annotation,38,"array([0.61476585, 0.88845989])"
1288,4780707,left,15683275,LHN,no official annotation,41,"array([0.59944986, 0.87303831])"
1289,17962513,left,8842220,LHN,no official annotation,28,"array([0.61475134, 0.89805696])"
1290,14782250,,-1,,,0,"array([0.67450943, 0.8837219 ])"
1291,7020344,right,12156009,PN,Gustatory PN 3; gustatory-external 2nd_order PN,28,"array([0.58535567, 0.87700049])"
1292,16341399,right,15715643,sensory,gustatory-external,4,"array([0.59304452, 0.92561161])"
1293,16115575,right,7227010,DN-VNC,no official annotation,52,"array([0.71512605, 0.82944852])"
1294,12233237,left,11528017,MB-FBN,FB2N-1,67,"array([0.60983659, 0.84536079])"
1295,17176866,left,17176882,PN,FFN-12; gut 2nd_order PN; mechano-II/III 2nd_order PN,54,"array([0.6109485 , 0.88840997])"
1296,11013351,left,11909406,LN,CN-11; FBN-12,61,"array([0.60397832, 0.84815689])"
1297,14434314,left,13369670,LHN,no official annotation,53,"array([0.62783332, 0.84880703])"
1298,14083681,right,9527522,MB-FBN,CN-19; FBN-9,75,"array([0.58671522, 0.81259879])"
1299,10673895,right,4381377,MBIN,DAN-g1,57,"array([0.57808802, 0.80164426])"
1300,5973097,right,15568134,pre-DN-SEZ,no official annotation,66,"array([0.6338509 , 0.84262648])"
1301,17165711,right,15668309,MB-FBN,CN-14; FAN-11,64,"array([0.59240775, 0.8002438 ])"
1302,11889676,right,14313750,MB-FBN,CN-12; FBN-8,75,"array([0.61560406, 0.82842861])"
1303,17150791,left,8712361,MB-FBN,CN-10; FAN-2,64,"array([0.59571796, 0.83007788])"
1304,14313750,left,11889676,MB-FBN,CN-12; FBN-8,75,"array([0.61915306, 0.83040051])"
1305,19508873,right,18527962,DN-VNC,no official annotation,44,"array([0.65271606, 0.8047299 ])"
1306,16594752,left,9530532,PN-somato,noci 2nd_order PN,26,"array([0.70282486, 0.84043704])"
